iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
AFG,2001,88.09271247,22271.02361
AGO,2001,101220.6215,36931143.66
AIA,2001,3.878460708,626.700335
ALA,2001,396.9348257,75897.87351
ALB,2001,3729.021031,1334028.164
AND,2001,1.654212948,593.7030612
ARG,2001,147805.9504,31830773.74
ARM,2001,131.8406123,39469.46603
ATG,2001,24.07418944,6766.345839
AUS,2001,218816.3021,32588227.33
AUT,2001,6926.269008,2781571.296
AZE,2001,553.2993561,152963.5681
BDI,2001,1417.246957,477610.719
BEL,2001,971.4881953,418495.819
BEN,2001,3749.331105,1106862.527
BES,2001,3.031857253,246.5132989
BFA,2001,59.47710511,14077.2974
BGD,2001,4586.997203,2283695.506
BGR,2001,8202.319112,2320214.156
BHS,2001,432.9994197,81701.12642
BIH,2001,1496.107105,614297.6431
BLR,2001,18358.96428,5017197.91
BLZ,2001,8211.629493,3499141.795
BMU,2001,0.195819794,64.06545188
BOL,2001,140321.2605,62485514.89
BRA,2001,2746361.557,1182637101
BRB,2001,12.36746156,3463.826345
BRN,2001,1244.453823,837530.8972
BTN,2001,297.6596315,166993.5832
BWA,2001,130.9838815,21154.50832
CAF,2001,31282.43685,14130266.63
CAN,2001,1358154.799,256809843.3
CHE,2001,1165.213247,543595.3412
CHL,2001,72711.30281,20902404.82
CHN,2001,230289.1153,87875469.08
CIV,2001,122683.6209,45923570.57
CMR,2001,39203.71718,19627666.92
COD,2001,455516.739,250221245.6
COG,2001,27030.69622,13962132.93
COL,2001,230054.8357,112493493
COM,2001,36.97369321,17649.89156
CPV,2001,7.136450794,0
CRI,2001,15461.87945,6926213.438
CUB,2001,18942.90878,5274759.694
CUW,2001,0.902788526,161.2397978
CYM,2001,20.6816122,3934.235325
CYP,2001,78.62890207,17758.78626
CZE,2001,3460.142586,1309112.456
DEU,2001,15286.38057,6107739.675
DMA,2001,22.79275551,13233.95976
DNK,2001,4329.295853,1040231.389
DOM,2001,11246.81007,4115776.249
DZA,2001,3468.760252,873501.0371
ECU,2001,45002.46871,24700956.36
EGY,2001,147.7649427,29113.7312
ERI,2001,2.529524333,975.2448387
ESP,2001,32811.05352,9915768.894
EST,2001,16872.43451,3694603.119
ETH,2001,11947.24724,5123556.836
FIN,2001,151003.2605,27699084.58
FJI,2001,1097.764054,557792.2304
FRA,2001,34420.96339,12692872.73
GAB,2001,15082.63773,8594446.565
GBR,2001,23244.12725,7568709.988
GEO,2001,666.5563666,245258.4258
GGY,2001,0.957678036,249.6514892
GHA,2001,43644.05617,16613481.73
GIB,2001,0.187285637,41.34495781
GIN,2001,18571.52586,6456272.11
GLP,2001,320.7023856,115574.2867
GMB,2001,3.297421863,691.9521744
GNB,2001,2362.153028,734547.1152
GNQ,2001,3585.419101,2184862.494
GRC,2001,12616.82202,3176629.893
GRD,2001,32.81085887,18245.35995
GTM,2001,53310.17515,21358957.26
GUF,2001,3033.287749,2265028.176
GUY,2001,10039.86771,6274630.943
HKG,2001,7.981291214,3394.999712
HND,2001,42380.17446,17571251.24
HRV,2001,3378.489604,1176602.294
HTI,2001,2469.048298,833360.0098
HUN,2001,7522.059332,2537095.388
IDN,2001,744087.9891,463408683.7
IMN,2001,15.97543762,4487.320095
IND,2001,62361.1745,30834213.39
IRL,2001,9559.474141,3765276.124
IRN,2001,332.4837054,76811.34379
IRQ,2001,16.02663642,4090.151527
ISR,2001,145.9652381,30315.6522
ITA,2001,9871.496932,2548623.367
JAM,2001,1246.241523,594382.9695
JEY,2001,3.696338871,1427.000603
JOR,2001,0.522028031,102.0185141
JPN,2001,23977.46162,8912027.03
KAZ,2001,4534.702741,1116972.247
KEN,2001,19027.21105,8901720.912
KGZ,2001,589.226356,147433.4516
KHM,2001,28491.44387,14290754.35
KNA,2001,45.60965868,17786.22487
KOR,2001,5503.445335,1390627.462
LAO,2001,36474.65075,19294612.06
LBN,2001,299.4042676,71068.15215
LBR,2001,29185.67018,12755128.66
LBY,2001,17.15270152,3226.035215
LCA,2001,31.08046321,14811.191
LIE,2001,3.423943212,1650.511809
LKA,2001,3759.510363,1365144.395
LSO,2001,1.140052131,323.1539358
LTU,2001,7961.687395,2101634.279
LUX,2001,68.60969197,30045.96956
LVA,2001,24907.62112,6233728.974
MAC,2001,1.428070339,0
MAF,2001,2.123655985,672.188564
MAR,2001,1868.288606,498719.9873
MDA,2001,146.6880607,34554.6074
MDG,2001,86956.8327,41417048.04
MDV,2001,4.743487262,360.5123348
MEX,2001,158302.9885,49573258.73
MKD,2001,2059.864143,636985.4546
MLI,2001,347.8706881,112632.9051
MLT,2001,1.251912538,291.1405073
MMR,2001,44804.23913,23027583.01
MNE,2001,858.4920805,347581.8569
MNG,2001,21056.72264,4673505.853
MOZ,2001,60936.64968,19724110.25
MRT,2001,31.83843537,7422.133729
MSR,2001,7.078555306,2919.628207
MTQ,2001,192.9652483,90739.41811
MUS,2001,156.5813835,81008.70005
MWI,2001,2488.28077,899382.0477
MYS,2001,332497.4245,129845927.8
MYT,2001,31.30269367,15539.91734
NAM,2001,417.5124607,84771.41013
NCL,2001,697.9210994,261411.3189
NER,2001,0.150195665,23.80784631
NGA,2001,43386.49462,14146262.56
NIC,2001,44109.79205,19938337.59
NLD,2001,736.4216234,261930.094
NOR,2001,22445.9414,4351290.75
NPL,2001,1523.194752,903140.7367
NZL,2001,50528.28239,20465861.02
PAK,2001,217.7703951,81932.83299
PAN,2001,18264.10741,9308606.148
PER,2001,86013.86649,53299322.4
PHL,2001,35165.1917,19732437.96
PLW,2001,52.11206112,37620.69174
PNG,2001,36005.1351,25029075.43
POL,2001,19066.10208,5557598.118
PRI,2001,1252.362231,523942.9828
PRK,2001,11945.60949,2985542.008
PRT,2001,24405.37982,6289055.29
PRY,2001,150238.7329,36080614.04
PSE,2001,2.219302278,446.9506565
REU,2001,28.61721413,14612.83567
ROU,2001,17535.52879,6745898.21
RUS,2001,1826602.995,295810175.3
RWA,2001,1516.766321,597446.6598
SDN,2001,26.94295316,6937.100186
SEN,2001,70.59427485,19544.55053
SGP,2001,43.45389467,13395.55408
SLB,2001,2187.117444,1612775.488
SLE,2001,18596.4253,7003256.98
SLV,2001,9499.391624,3370710.864
SOM,2001,339.3039459,71481.08966
SRB,2001,2379.5834,945153.047
SSD,2001,4906.033993,1225829.936
STP,2001,77.22190502,44438.39818
SUR,2001,3688.947052,2653005.446
SVK,2001,3897.393159,1549018.278
SVN,2001,615.4603105,256917.5646
SWE,2001,144927.2266,26937100.69
SWZ,2001,6734.853711,3500397.051
SXM,2001,1.318283677,355.4857699
SYC,2001,0.379574768,121.6287134
SYR,2001,267.2352947,65556.98202
TCA,2001,7.72720305,1201.523034
TCD,2001,883.6264799,224817.1744
TGO,2001,2776.230616,745081.945
THA,2001,36101.94359,18834334.62
TJK,2001,61.53772785,14711.8399
TKM,2001,46.21279329,9823.772407
TLS,2001,677.4261599,392922.3333
TTO,2001,1829.096035,825029.9192
TUN,2001,230.6704347,63337.47157
TUR,2001,22910.00549,5158197.289
TWN,2001,1159.068116,567165.316
TZA,2001,82214.20404,29062957.71
UGA,2001,29658.94722,11744153.63
UKR,2001,28826.3802,9014002.555
UMI,2001,2.11971068,0
URY,2001,7647.452723,1728631.731
USA,2001,1943080.844,656415930.9
UZB,2001,294.820902,64580.46214
VCT,2001,6.896545779,3493.281368
VEN,2001,123881.1441,47839708.7
VGB,2001,4.092501168,1573.928206
VIR,2001,122.5133707,42533.72639
VNM,2001,47433.13018,23919327.64
VUT,2001,124.3332979,69812.66236
XAD,2001,1.648989262,355.0411165
XCA,2001,9.735251157,326.5845405
XKO,2001,1122.205429,460219.8879
XNC,2001,17.66158322,4028.665034
ZAF,2001,77644.6906,34466716.14
ZMB,2001,30123.7271,12114033.85
ZWE,2001,8205.934185,2812034.179
ABW,2002,0.526107732,34.35976432
AFG,2002,178.6403638,50429.55094
AGO,2002,61034.22727,20151278.02
AIA,2002,0.146329651,27.13500557
ALA,2002,277.8198771,56651.5536
ALB,2002,889.5171155,337368.3599
AND,2002,1.255022224,512.5847466
ARG,2002,105001.8622,25162587.46
ARM,2002,172.5385912,52851.58212
ATG,2002,17.65604165,5025.084021
AUS,2002,312150.1627,38225877.85
AUT,2002,10902.14988,4487132.017
AZE,2002,1154.205943,282124.2532
BDI,2002,986.9362126,309365.1871
BEL,2002,2348.390596,1103202.419
BEN,2002,3480.187346,988743.6981
BES,2002,2.106457457,498.7217119
BFA,2002,4.3029109,1020.33041
BGD,2002,3995.287574,1913311.542
BGR,2002,4638.738812,1208460.528
BHS,2002,700.9761365,152907.2112
BIH,2002,692.6588558,268638.0431
BLR,2002,25383.4157,6908832.181
BLZ,2002,13473.73051,6061254.531
BMU,2002,0.717959402,209.1503646
BOL,2002,178807.9712,79453048.15
BRA,2002,3507049.44,1616866928
BRB,2002,11.39198156,3364.824311
BRN,2002,1088.845597,739568.8571
BTN,2002,223.9348815,128493.6858
BWA,2002,22.78899863,3583.653096
CAF,2002,34417.72161,15464854.28
CAN,2002,2316887.665,346771409.4
CHE,2002,881.3039027,416659.1342
CHL,2002,78080.97298,22649779.12
CHN,2002,249150.9601,94768718.37
CIV,2002,144523.6274,54965564.9
CMR,2002,28766.95157,14969602.53
COD,2002,514476.6882,277257455.9
COG,2002,24310.14238,12647314.97
COL,2002,182229.1524,97083155.45
COM,2002,41.20393423,22529.75137
CPV,2002,22.8340031,0
CRI,2002,13289.14909,6101920.552
CUB,2002,15035.84738,4208562.8
CUW,2002,1.279283688,260.974553
CYM,2002,5.598244417,1281.832484
CYP,2002,31.74324402,6401.17926
CZE,2002,6766.437908,2716374.468
DEU,2002,15303.26237,6440567.801
DMA,2002,11.87470804,6927.670663
DNK,2002,1204.489939,293774.521
DOM,2002,10435.97987,3694095.834
DZA,2002,3009.833121,800146.0251
ECU,2002,29817.73772,17641392.05
EGY,2002,48.81325058,9456.0208
ESP,2002,37699.01981,10958255.34
EST,2002,21918.38645,4964621.561
ETH,2002,13074.08741,5321916.951
FIN,2002,142432.404,26345878
FJI,2002,703.2099391,369490.0008
FRA,2002,33888.39717,12819004.47
GAB,2002,13851.84666,7923833.246
GBR,2002,20112.34996,7019777.892
GEO,2002,536.442198,193526.8601
GGY,2002,0.050347617,8.778783472
GHA,2002,78395.05298,31572043.65
GIB,2002,0.12482941,23.12095613
GIN,2002,28933.47429,10646482.71
GLP,2002,50.88541896,19220.35336
GMB,2002,40.15764074,8596.308567
GNB,2002,6073.797259,1851000.329
GNQ,2002,2986.110544,1891282.076
GRC,2002,5126.049313,1101409.856
GRD,2002,65.83774686,34831.95435
GTM,2002,55600.93461,22669200.7
GUF,2002,2496.703749,1884780.37
GUY,2002,4827.394979,3071016.533
HKG,2002,15.61155641,6766.395013
HND,2002,31528.01233,13338886.24
HRV,2002,2340.179492,800390.9356
HTI,2002,2120.380505,679469.0231
HUN,2002,7711.03737,2625093.93
IDN,2002,855275.863,588168839
IMN,2002,13.6648598,3804.419739
IND,2002,53005.48774,25639350.04
IRL,2002,5298.280939,2151347.7
IRN,2002,557.752371,128983.9546
IRQ,2002,10.62006031,2730.442019
ISR,2002,111.7306785,24668.51087
ITA,2002,10931.22755,2950534.819
JAM,2002,1647.570637,737017.9634
JEY,2002,0.810373894,236.7797297
JOR,2002,0.196107558,44.02536816
JPN,2002,26154.03983,10104781.07
KAZ,2002,2952.306624,740691.3343
KEN,2002,20287.52622,10027407.57
KGZ,2002,305.4574798,74180.52109
KHM,2002,54862.0762,28153824.2
KNA,2002,19.79075058,7370.45279
KOR,2002,4705.326872,1256123.253
LAO,2002,55936.73071,29222698.4
LBN,2002,81.20045904,17987.86118
LBR,2002,56984.42382,25482386.89
LBY,2002,40.24566353,8103.318853
LCA,2002,10.91096809,5655.37534
LKA,2002,3427.680386,1173955.396
LSO,2002,2.687139564,690.4028946
LTU,2002,10344.83819,2754497.807
LUX,2002,90.45691516,42713.12526
LVA,2002,29175.98819,7470024.952
MAC,2002,0.928207381,2.325588898
MAF,2002,5.418846674,1759.125243
MAR,2002,3923.517827,1074031.416
MDA,2002,229.7964207,58872.50521
MDG,2002,89317.51419,42379798.71
